TotRmsAbvGrd,OpenPorchSF,MasVnrArea,OverallQual,1stFlrSF,HalfBath,LotArea,GrLivArea,YearBuilt,2ndFlrSF,OverallCond,BsmtFinSF1,FullBath,Fireplaces,TotalBsmtSF,LotFrontage,BsmtUnfSF,YrSold,GarageYrBlt,MoSold,GarageCars,YearRemodAdd,BsmtFullBath,BedroomAbvGr,WoodDeckSF,GarageArea,LotShape,ExterQual,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,KitchenQual,FireplaceQu,GarageFinish,MSSubClass_1,MSSubClass_2,MSSubClass_3,MSSubClass_4,LotConfig_2,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,HouseStyle_2,HouseStyle_3,RoofStyle_2,RoofStyle_3,Exterior1st_2,Exterior1st_3,Exterior1st_4,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,MasVnrType_2,MasVnrType_3,Foundation_2,Foundation_3,GarageType_2,GarageType_3,SalePrice
8,61,196.0,7,856,1,8450,1710,2003,854,5,706,2,0,856,65.0,150,2008,2003.0,2,2,2003,1,3,0,548,3,3,4,1,6,4,3,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,208500
6,0,0.0,6,1262,0,9600,1262,1976,0,8,978,2,1,1262,80.0,284,2007,1976.0,5,2,1976,0,3,298,460,3,2,4,4,5,4,2,3,2,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,181500
6,42,162.0,7,920,1,11250,1786,2001,866,5,486,2,1,920,68.0,434,2008,2001.0,9,2,2002,1,3,0,608,2,3,4,2,6,4,3,3,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,223500
7,35,0.0,7,961,0,9550,1717,1915,756,5,216,1,1,756,60.0,540,2006,1998.0,2,3,1970,1,3,0,642,2,2,3,1,5,3,3,4,1,0,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,140000
9,84,350.0,8,1145,1,14260,2198,2000,1053,5,655,2,1,1145,84.0,490,2008,2000.0,12,3,2000,1,4,192,836,2,3,4,3,6,4,3,3,2,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,250000
5,30,0.0,5,796,1,14115,1362,1993,566,5,732,1,0,796,85.0,64,2009,1993.0,10,2,1995,1,1,40,480,2,2,4,1,6,4,2,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,143000
7,57,186.0,8,1694,0,10084,1694,2004,0,5,1369,2,1,1686,75.0,317,2007,2004.0,8,2,2005,1,3,255,636,3,3,5,3,6,4,3,4,2,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,307000
8,0,0.0,7,1022,0,6120,1774,1931,752,5,0,2,2,952,51.0,952,2008,1931.0,4,2,1950,0,2,90,468,3,2,3,1,1,3,2,3,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,129900
5,4,0.0,5,1077,0,7420,1077,1939,0,6,851,1,2,991,50.0,140,2008,1939.0,1,1,1950,1,2,0,205,3,2,3,1,6,4,2,3,2,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,118000
5,0,0.0,5,1040,0,11200,1040,1965,0,5,906,1,0,1040,70.0,134,2008,1965.0,2,1,1965,1,3,0,384,3,2,3,1,3,4,2,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0,129500
11,21,286.0,9,1182,0,11924,2324,2005,1142,5,998,3,2,1175,85.0,177,2006,2005.0,7,3,2006,1,4,147,736,2,4,5,1,6,4,4,4,3,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,345000
7,33,306.0,7,1494,0,10652,1494,2006,0,5,0,2,1,1494,91.0,1494,2007,2006.0,8,3,2007,0,3,160,840,2,3,4,3,1,4,3,4,2,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,279500
5,112,0.0,7,854,0,6120,854,1929,0,8,0,1,0,832,51.0,832,2007,1991.0,7,2,2001,0,2,48,576,3,2,3,1,1,4,2,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,132000
6,0,0.0,4,1296,0,10791,1296,1967,0,5,0,2,0,0,72.0,0,2006,1967.0,10,2,1967,0,2,0,516,3,2,0,0,0,2,2,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,90000
6,102,0.0,5,1114,1,13695,1114,2004,0,5,646,1,0,1114,66.0,468,2008,2004.0,6,2,2004,1,3,0,576,3,2,3,1,6,4,3,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,159000
6,0,0.0,5,1339,0,7560,1339,1958,0,6,504,1,0,1029,70.0,525,2009,1958.0,5,1,1965,0,3,0,294,3,2,3,1,2,2,2,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,139000
9,154,380.0,8,1158,1,14215,2376,2005,1218,5,0,3,1,1158,101.0,1158,2006,2005.0,11,3,2006,0,4,240,853,2,3,5,3,1,4,3,4,2,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,325300
6,0,0.0,7,1108,0,7449,1108,1930,0,7,0,1,1,637,57.0,637,2007,1930.0,6,1,1950,0,3,0,280,3,2,3,1,1,4,3,4,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,1,139400
7,159,281.0,8,1795,0,9742,1795,2002,0,5,0,2,1,1777,75.0,1777,2008,2002.0,9,2,2002,0,3,171,534,3,3,4,1,1,4,3,4,2,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,230000
6,110,0.0,5,1060,0,4224,1060,1976,0,7,840,1,1,1040,44.0,200,2007,1976.0,6,2,1976,1,3,100,572,3,2,4,1,6,2,2,3,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,129900
7,56,640.0,8,1600,0,14230,1600,2007,0,5,0,2,1,1566,110.0,1566,2009,2007.0,7,3,2007,0,3,0,890,3,3,4,1,1,4,3,4,2,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,256300
5,32,0.0,5,900,0,7200,900,1951,0,7,234,1,0,900,60.0,180,2010,2005.0,5,2,2000,0,3,222,576,3,2,3,2,4,2,3,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,134800
7,50,200.0,8,1704,0,11478,1704,2007,0,5,1218,2,1,1704,98.0,486,2010,2008.0,5,3,2008,1,3,0,772,3,3,5,1,6,4,3,4,2,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,306000
6,258,0.0,5,1600,0,16321,1600,1957,0,6,1277,1,2,1484,47.0,207,2006,1957.0,12,1,1997,1,2,288,319,2,2,3,4,4,2,2,4,2,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,207500
4,0,0.0,4,520,0,6324,520,1927,0,6,0,1,0,520,60.0,520,2008,1920.0,5,1,1950,0,1,49,240,2,2,3,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,68500
6,54,0.0,4,649,0,8500,1317,1920,668,4,0,1,0,649,50.0,649,2008,1920.0,7,1,1950,0,3,0,250,3,2,3,1,1,2,2,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,40000
7,30,0.0,8,1234,0,11049,1234,2007,0,5,0,2,0,1234,85.0,1234,2008,2007.0,1,2,2007,0,3,0,484,3,3,5,3,1,4,3,0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,179900
