TotRmsAbvGrd,OpenPorchSF,MasVnrArea,PoolArea,MiscVal,OverallQual,1stFlrSF,ScreenPorch,HalfBath,KitchenAbvGr,LotArea,GrLivArea,YearBuilt,2ndFlrSF,OverallCond,BsmtFinSF1,FullBath,Fireplaces,TotalBsmtSF,EnclosedPorch,LotFrontage,BsmtHalfBath,BsmtUnfSF,BsmtFinSF2,YrSold,LowQualFinSF,GarageYrBlt,MoSold,GarageCars,YearRemodAdd,BsmtFullBath,BedroomAbvGr,3SsnPorch,WoodDeckSF,GarageArea,LotShape,Utilities,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,Functional,FireplaceQu,GarageFinish,GarageQual,GarageCond,PavedDrive,PoolQC,Fence,MSSubClass_1,MSSubClass_2,MSSubClass_3,MSSubClass_4,MSZoning_1,MSZoning_2,MSZoning_3,Street_1,Alley_1,Alley_2,LandContour_1,LandContour_2,LotConfig_1,LotConfig_2,LotConfig_3,Neighborhood_1,Neighborhood_2,Neighborhood_3,Neighborhood_4,Neighborhood_5,Condition1_1,Condition1_2,Condition1_3,Condition1_4,Condition2_1,Condition2_2,Condition2_3,BldgType_1,BldgType_2,BldgType_3,HouseStyle_1,HouseStyle_2,HouseStyle_3,RoofStyle_1,RoofStyle_2,RoofStyle_3,RoofMatl_1,RoofMatl_2,RoofMatl_3,Exterior1st_1,Exterior1st_2,Exterior1st_3,Exterior1st_4,Exterior2nd_1,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,MasVnrType_1,MasVnrType_2,MasVnrType_3,Foundation_1,Foundation_2,Foundation_3,Heating_1,Heating_2,Heating_3,CentralAir_1,Electrical_1,Electrical_2,Electrical_3,GarageType_1,GarageType_2,GarageType_3,MiscFeature_1,MiscFeature_2,MiscFeature_3,SaleType_1,SaleType_2,SaleType_3,SaleType_4,SaleCondition_1,SaleCondition_2,SaleCondition_3,SalePrice
8,61,196.0,0,0,7,856,0,1,1,8450,1710,2003,854,5,706,2,0,856,0,65.0,0,150,0,2008,0,2003.0,2,2,2003,1,3,0,0,548,3,3,0,3,2,4,3,1,6,1,4,3,7,0,2,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,208500
6,0,0.0,0,0,6,1262,0,0,1,9600,1262,1976,0,8,978,2,1,1262,0,80.0,1,284,0,2007,0,1976.0,5,2,1976,0,3,0,298,460,3,3,0,2,2,4,3,4,5,1,4,2,7,3,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,181500
6,42,162.0,0,0,7,920,0,1,1,11250,1786,2001,866,5,486,2,1,920,0,68.0,0,434,0,2008,0,2001.0,9,2,2002,1,3,0,0,608,2,3,0,3,2,4,3,2,6,1,4,3,7,3,2,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,223500
7,35,0.0,0,0,7,961,0,0,1,9550,1717,1915,756,5,216,1,1,756,272,60.0,0,540,0,2006,0,1998.0,2,3,1970,1,3,0,0,642,2,3,0,2,2,3,4,1,5,1,3,3,7,4,1,3,3,2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,140000
9,84,350.0,0,0,8,1145,0,1,1,14260,2198,2000,1053,5,655,2,1,1145,0,84.0,0,490,0,2008,0,2000.0,12,3,2000,1,4,0,192,836,2,3,0,3,2,4,3,3,6,1,4,3,7,3,2,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,250000
5,30,0.0,0,700,5,796,0,1,1,14115,1362,1993,566,5,732,1,0,796,0,85.0,0,64,0,2009,0,1993.0,10,2,1995,1,1,320,40,480,2,3,0,2,2,4,3,1,6,1,4,2,7,0,1,3,3,2,0,3,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,143000
7,57,186.0,0,0,8,1694,0,0,1,10084,1694,2004,0,5,1369,2,1,1686,0,75.0,0,317,0,2007,0,2004.0,8,2,2005,1,3,0,255,636,3,3,0,3,2,5,3,3,6,1,4,3,7,4,2,3,3,2,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,307000
7,204,240.0,0,350,7,1107,0,1,1,10382,2090,1973,983,6,859,2,2,1107,228,,0,216,32,2009,0,1973.0,11,2,1973,1,3,0,235,484,2,3,0,2,2,4,3,2,5,4,4,2,7,3,2,3,3,2,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,200000
8,0,0.0,0,0,7,1022,0,0,2,6120,1774,1931,752,5,0,2,2,952,205,51.0,0,952,0,2008,0,1931.0,4,2,1950,0,2,0,90,468,3,3,0,2,2,3,3,1,1,1,3,2,6,3,1,2,3,2,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,129900
5,4,0.0,0,0,5,1077,0,0,2,7420,1077,1939,0,6,851,1,2,991,0,50.0,0,140,0,2008,0,1939.0,1,1,1950,1,2,0,0,205,3,3,0,2,2,3,3,1,6,1,4,2,7,3,2,4,3,2,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,118000
